gene,cts,sample,plate,experimental_replicate
WSP,18.437,POP_C_3,plate_1,2
WSP,23.233,CSB_C_9,plate_1,2
WSP,23.183,CSB_C_9,plate_1,2
WSP,24.941,POP_B_5,plate_1,2
RPL32,27.657,POP_B_4,plate_1,2
RPL32,27.988,POP_B_5,plate_1,2
RPL32,27.477,CSB_D_2,plate_1,2
RPL32,27.344,CSB_D_2,plate_1,2
RPL32,27.732,POP_C_9,plate_1,2
RPL32,27.513,POP_C_9,plate_1,2
RPL32,NA,CSB-REF_A_6,plate_1,2
RPL32,NA,CSB-REF_A_6,plate_1,2
RPL32,27.761,POP_B_4,plate_1,2
RPL32,27.399,POP2_B_3,plate_1,2
RPL32,27.496,POP2_B_3,plate_1,2
RPL32,27.061,POP_C_3,plate_1,2
RPL32,27.181,POP_C_3,plate_1,2
RPL32,27.243,CSB_C_9,plate_1,2
RPL32,27.39,CSB_C_9,plate_1,2
RPL32,27.997,POP_B_5,plate_1,2
WSP,22.727,CSB_D_1,plate_1,2
WSP,22.741,CSB_E_8,plate_1,2
WSP,23.669,CSB_D_8,plate_1,2
WSP,23.476,CSB_D_8,plate_1,2
WSP,22.625,CSB_D_5,plate_1,2
WSP,22.68,CSB_D_5,plate_1,2
WSP,34.339,CSB-REF_A_7,plate_1,2
WSP,34.814,CSB-REF_A_7,plate_1,2
WSP,22.853,CSB_D_1,plate_1,2
WSP,23.237,POP_A_1,plate_1,2
WSP,23.201,POP_A_1,plate_1,2
WSP,19.266,POP2_C_10,plate_1,2
WSP,19.178,POP2_C_10,plate_1,2
WSP,18.659,POP2_C_3,plate_1,2
WSP,18.658,POP2_C_3,plate_1,2
WSP,22.755,CSB_E_8,plate_1,2
RPL32,27.717,CSB_D_1,plate_1,2
RPL32,27.577,CSB_E_8,plate_1,2
RPL32,27.538,CSB_D_8,plate_1,2
RPL32,27.458,CSB_D_8,plate_1,2
RPL32,27.409,CSB_D_5,plate_1,2
RPL32,27.482,CSB_D_5,plate_1,2
RPL32,NA,CSB-REF_A_7,plate_1,2
RPL32,NA,CSB-REF_A_7,plate_1,2
RPL32,27.49,CSB_D_1,plate_1,2
RPL32,27.243,POP_A_1,plate_1,2
RPL32,27.156,POP_A_1,plate_1,2
RPL32,27.463,POP2_C_10,plate_1,2
RPL32,27.061,POP2_C_10,plate_1,2
RPL32,27.195,POP2_C_3,plate_1,2
RPL32,27.317,POP2_C_3,plate_1,2
RPL32,27.691,CSB_E_8,plate_1,2
WSP,21.854,CSB_E_7,plate_1,2
WSP,19.445,POP_C_7,plate_1,2
WSP,23.13,CSB_A_3,plate_1,2
WSP,23.327,CSB_A_3,plate_1,2
WSP,35.027,CSB-REF_A_8,plate_1,2
WSP,34.861,CSB-REF_A_8,plate_1,2
WSP,21.897,CSB_E_7,plate_1,2
WSP,24.073,CSB_A_6,plate_1,2
WSP,23.917,CSB_A_6,plate_1,2
WSP,24.578,CSB_B_1,plate_1,2
WSP,24.569,CSB_B_1,plate_1,2
WSP,25.932,POP_B_1,plate_1,2
WSP,26.271,POP_B_1,plate_1,2
WSP,19.45,POP_C_7,plate_1,2
RPL32,27.464,CSB_E_7,plate_1,2
RPL32,27.613,POP_C_7,plate_1,2
RPL32,27.113,CSB_A_3,plate_1,2
RPL32,27.007,CSB_A_3,plate_1,2
RPL32,NA,CSB-REF_A_8,plate_1,2
RPL32,NA,CSB-REF_A_8,plate_1,2
RPL32,27.82,CSB_E_7,plate_1,2
RPL32,26.983,CSB_A_6,plate_1,2
RPL32,26.978,CSB_A_6,plate_1,2
RPL32,27.516,CSB_B_1,plate_1,2
RPL32,27.553,CSB_B_1,plate_1,2
RPL32,28.114,POP_B_1,plate_1,2
RPL32,28.164,POP_B_1,plate_1,2
RPL32,27.62,POP_C_7,plate_1,2
WSP,23.718,CSB_C_3,plate_2,2
WSP,24.513,POP_A_5,plate_2,2
WSP,24.936,POP2_B_7,plate_2,2
WSP,24.949,POP2_B_7,plate_2,2
WSP,23.311,CSB_E_2,plate_2,2
WSP,23.272,CSB_E_2,plate_2,2
WSP,23.092,CSB-REF_A_1,plate_2,2
WSP,22.958,CSB-REF_A_1,plate_2,2
WSP,23.67,CSB_C_3,plate_2,2
WSP,20.227,POP_C_1,plate_2,2
WSP,20.378,POP_C_1,plate_2,2
WSP,23.876,CSB_D_7,plate_2,2
WSP,23.822,CSB_D_7,plate_2,2
WSP,22.975,POP2_A_9,plate_2,2
WSP,23.166,POP2_A_9,plate_2,2
WSP,24.394,POP_A_5,plate_2,2
RPL32,27.256,CSB_C_3,plate_2,2
RPL32,27.228,POP_A_5,plate_2,2
RPL32,27.587,POP2_B_7,plate_2,2
RPL32,27.763,POP2_B_7,plate_2,2
RPL32,27.492,CSB_E_2,plate_2,2
RPL32,27.864,CSB_E_2,plate_2,2
RPL32,25.985,CSB-REF_A_1,plate_2,2
RPL32,25.991,CSB-REF_A_1,plate_2,2
RPL32,27.048,CSB_C_3,plate_2,2
RPL32,27.352,POP_C_1,plate_2,2
RPL32,27.198,POP_C_1,plate_2,2
RPL32,27.733,CSB_D_7,plate_2,2
RPL32,27.464,CSB_D_7,plate_2,2
RPL32,26.894,POP2_A_9,plate_2,2
