sample,gene,cts,fly_generation
T_50_C_1,RPL32,25.527,2
T_0_A_3,WSP,21.35,2
T_0_A_3,WSP,21.272,2
T_0_A_3,RPL32,25.951,2
T_0_A_3,RPL32,25.875,2
T_1.5625_A_4,WSP,22.253,2
T_1.5625_A_4,WSP,22.439,2
T_1.5625_A_4,RPL32,26.177,2
T_1.5625_A_4,RPL32,26.138,2
T_1.5625_B_3,WSP,22.34,2
T_1.5625_B_3,WSP,22.507,2
T_1.5625_B_3,RPL32,25.45,2
T_1.5625_B_3,RPL32,25.542,2
T_3.125_C_4,WSP,22.679,2
T_3.125_C_4,WSP,22.666,2
T_3.125_C_4,RPL32,25.933,2
T_3.125_C_4,RPL32,25.895,2
T_6.25_A_3,WSP,32.732,2
T_6.25_A_3,WSP,30.399,2
T_6.25_A_3,RPL32,25.587,2
T_6.25_A_3,RPL32,25.631,2
T_6.25_A_4,WSP,23.549,2
T_6.25_A_4,WSP,23.398,2
T_6.25_A_4,RPL32,25.897,2
T_6.25_A_4,RPL32,26.032,2
T_50_C_3,WSP,31.434,2
T_50_C_3,WSP,31.29,2
T_50_C_3,RPL32,25.867,2
T_50_C_3,RPL32,25.788,2
T_50_C_4,WSP,31.251,2
T_50_C_4,WSP,31.379,2
T_50_C_4,RPL32,25.769,2
T_50_C_4,RPL32,25.638,2
T_0_A_1,WSP,20.083,3
T_0_A_1,WSP,20.184,3
T_0_A_1,RPL32,25.624,3
T_0_A_1,RPL32,25.617,3
T_0_A_2,WSP,20.386,3
T_0_A_2,WSP,20.46,3
T_0_A_2,RPL32,26.198,3
T_0_A_2,RPL32,26.354,3
T_0_A_3,WSP,20.793,3
T_0_A_3,WSP,20.823,3
T_0_A_3,RPL32,26.598,3
T_0_A_3,RPL32,26.526,3
T_0_A_4,WSP,21.171,3
T_0_A_4,WSP,20.861,3
T_0_A_4,RPL32,26.462,3
T_0_A_4,RPL32,26.282,3
T_0_B_1,WSP,20.848,3
T_0_B_1,WSP,20.545,3
T_0_B_1,RPL32,26.522,3
T_0_B_1,RPL32,26.439,3
T_0_B_2,WSP,21.428,3
T_0_B_2,WSP,21.391,3
T_0_B_2,RPL32,27.261,3
T_0_B_2,RPL32,27.15,3
T_0_B_3,WSP,20.749,3
T_0_B_3,WSP,20.723,3
T_0_B_3,RPL32,26.372,3
T_0_B_3,RPL32,26.543,3
T_0_C_1,WSP,21.566,3
T_0_C_1,WSP,21.416,3
T_0_C_1,RPL32,26.765,3
T_0_C_1,RPL32,26.58,3
T_0_C_2,WSP,20.735,3
T_0_C_2,WSP,20.904,3
T_0_C_2,RPL32,26.2,3
T_0_C_2,RPL32,26.501,3
T_0_C_3,WSP,21.176,3
T_0_C_3,WSP,21.21,3
T_0_C_3,RPL32,26.736,3
T_0_C_3,RPL32,26.945,3
T_1.5625_A_1,WSP,21.271,3
T_1.5625_A_1,WSP,21.348,3
T_1.5625_A_1,RPL32,26.566,3
T_1.5625_A_1,RPL32,26.652,3
T_1.5625_A_2,WSP,20.875,3
T_1.5625_A_2,WSP,20.929,3
T_1.5625_A_2,RPL32,27.435,3
T_1.5625_A_2,RPL32,27.451,3
T_1.5625_A_3,WSP,20.471,3
T_1.5625_A_3,WSP,20.551,3
T_1.5625_A_3,RPL32,26.295,3
T_1.5625_A_3,RPL32,26.178,3
T_1.5625_B_1,WSP,21.51,3
T_1.5625_B_1,WSP,21.349,3
T_1.5625_B_1,RPL32,26.443,3
T_1.5625_B_1,RPL32,26.462,3
T_1.5625_B_2,WSP,20.886,3
T_1.5625_B_2,WSP,21.098,3
T_1.5625_B_2,RPL32,26.45,3
T_1.5625_B_2,RPL32,26.22,3
T_1.5625_B_4,WSP,21.355,3
T_1.5625_B_4,WSP,21.255,3
T_1.5625_B_4,RPL32,26.324,3
T_1.5625_B_4,RPL32,26.441,3
T_1.5625_C_1,WSP,21.074,3
